Year,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
2000,16.04,13.56,26.53,25.67,92.89,-30.59,-39.03,-8.33,-5.66,-11.5,18.76,6,44.36,-0.39,-23.1,-30.19,-5.81,19.33,-30.91,-6.38,4.98,20.38,-25.17,7.11,25.23,12.13,-38.27,-20.8,132.14,91.7,45.25,-55.63,-16.31,-22.29,-30.23,-64.77,-9.66,27.09,-3.89,-15.6,-4.81,-20.32,-35.72,-2.68,8.13,19.7,-5.13,-9.82,-17.4
2001,34.91,39.15,11.53,7.37,49.15,29.89,48.96,8.13,21.49,25.2,78.7,70.66,24.35,9.39,27.96,-1.99,33.61,17.47,1.28,-10.46,9.66,-13.18,25.9,11.49,23.82,97.39,24.68,-4.92,37.91,-12.66,-1.8,-12.31,26.62,27.16,10.62,20.54,2.19,5.71,10.48,85.25,16.78,43.98,56.19,24.69,37.87,18.96,32.91,17.71,31.43
2002,-3.7,-1.53,22.27,-6.55,-26.91,2.24,-8.1,-12.61,4.87,17.51,-17.77,-22.19,-42.01,-6.42,-2.36,13.42,-8.39,-11.63,-29.89,-31.32,-16.18,-20.21,-4.48,-9.35,34.63,4.92,126.01,-25.9,-11.26,-9.63,-13.26,-41.13,-10.92,-24.25,-25.19,-29.37,-34.72,-30.99,-4.59,29.14,-5.53,-9.82,-8.19,-3.35,20.77,-5.38,-15.37,-3.28,-1.21
2003,89.1,36.71,10.57,65.28,62.31,35.02,60.84,24.36,44.27,59.73,81.28,106.08,131.44,50.73,36.94,16.76,52.31,100.64,74.96,23.8,67.13,83.85,54.46,51.38,49.6,94.53,103.01,173.33,63.59,81.38,30.93,76.74,92.57,74.87,128.18,117.35,130.47,106.05,32.1,7.71,70.46,74.1,61.69,40.6,49.69,40.71,42.95,72.8,50.68
2004,23.06,22.94,22.5,21.29,63.03,24.45,41.4,21.14,10.53,24.88,36.55,19.45,8.89,36.43,33.62,9.73,41.04,30.5,64.61,33.01,24.09,19.08,6.71,47.75,39.2,54.09,-11.5,19.09,64.62,51.06,20.45,4.48,32.04,26.83,2.63,13.97,10.68,15.64,17.3,15.18,26.85,30.71,24.37,24.55,17.82,25.57,41.41,18.47,25.96
2005,-2.28,-3.36,-3.87,23.06,-0.77,-25.03,-9.05,-11.09,-5.89,16.02,0.17,1.43,-7.56,-5.08,-6.24,-15.05,17.45,14.75,14.19,-10.83,23.51,1.07,-20.14,17.72,19.15,-14.86,-7.36,49.18,41.86,66.79,12.53,-16.15,0.82,8.18,-7.64,0.88,-1.58,-3.26,-12.3,-20.93,4.67,5.25,10.05,9.91,1.55,13.02,25.89,13.64,7.98
2006,13.04,24.03,36.06,26.06,38.7,21.97,21.09,0.27,20.78,27.72,12.26,6.98,12.41,29.38,34.19,-0.45,11.12,1.48,45.07,23.49,19.26,15.11,10.65,26.97,5.94,56.14,47.1,25.7,-24.24,8.63,22.31,19.62,13.82,20.23,14.21,14.84,6.86,19.84,20.58,34.32,14.71,21.37,16.56,17.67,12.89,18.97,18.65,39.13,33.35
2007,14.19,3.78,13.2,16.23,-6.56,-26.33,-18.09,-18.9,-11.65,-23.37,5.99,2.88,-11.06,9.39,-16.73,-6.45,-17.72,-35.25,16.36,23,16.9,16.11,-14.52,47.26,-21.97,-8.86,13.77,32.34,49.49,6.31,11.87,-10.92,5.82,-1.15,-11.69,1.62,-2.11,13.89,-8.55,22.05,-13.63,-1.13,-21.6,-17.54,-23.7,-7.09,-22.94,-2.86,-4.32
2008,-31.24,-29.06,-47.78,-35.22,26.89,-59.34,-58.62,-69.97,-48.88,-49.54,-34.69,-43.74,-39.69,-57.34,-49.51,-52.76,-42.63,-45.82,-50.32,-37.3,-50.64,-51.15,-64.84,-44.09,-39.09,-37.3,-56.86,-60.25,-53.41,-55,-21.5,-57.53,-36.97,-49.76,-49.72,-43.52,-55.29,-48.79,-60.85,-32.74,-35.47,-43.65,-46.71,-51.68,-38.69,-28.35,-63.14,-43.52,-37.45
2009,31.34,51.13,49.48,37.92,7.3,78.35,55.4,198.67,103.17,100.95,61.86,79.98,114.35,91.19,58.18,118.79,51.14,49.33,46.59,64.47,61.11,57.32,147.77,37.2,42.61,87.69,100.87,141.14,107.26,65.25,17.95,121.5,73.43,74.1,103.57,79.9,116.73,82.65,142.99,54.77,51.68,90.51,114.54,74.25,-9.7,35.24,72.1,56.1,53.31
2010,-2.56,18.06,40.25,43.48,74.28,20.89,22.04,15.64,29.04,38.74,22.44,25.24,20.88,43.29,36.47,44.25,36.89,6.44,26.48,37.36,43.5,21.18,54.83,39.78,58.79,1.93,95.04,114.37,30.44,38.24,12.81,32.32,15.82,28.81,48.07,37.92,29.63,44.55,32.05,20.59,24.19,29.34,30.14,44.36,13.86,25.23,9.92,19.47,24.81
2011,-9.52,-9.71,-15.94,-2.55,41.49,-15.77,-8.47,-15.25,-7.65,-5.55,-13.66,-2.16,-13.73,-9.44,8.11,-20.1,-18.37,-26.04,-20.27,-27.07,-10.88,-35.5,-25.97,10.9,3.46,4.11,-24.1,-40.94,-45.08,-6.87,17.55,-10.76,-16.81,-12.12,-11.54,-5.32,-21.25,-7.43,-6.25,-6.4,-12.47,-6.1,-0.1,8.82,-8.76,1,-21.26,-18.79,-4.4
2012,25.51,22.75,24.56,21.05,22.84,39.92,15.31,30.07,21.67,26.62,33.26,16.33,28.95,13.87,27.89,51.44,35.98,49.82,5.76,12.47,18,1.87,21.85,7.23,18.99,45.56,2.11,-6.4,-36.84,-9.12,6.34,16.24,-0.93,13.41,-2.07,16.4,4.07,18.81,14.51,23.14,14.56,15.36,17.23,33.27,36.44,22,75.55,10.14,7.77
2013,20.55,41.53,25.95,62.45,22.81,63.51,49.85,63.74,31.59,40.16,40.28,50.41,63.34,39.03,36.03,88.96,43.58,29.07,32.22,47.14,51.67,71.76,58.46,56.12,69.43,93.65,-56.99,-12.63,-15.41,24.33,20.81,70.96,43.82,54.6,31.06,50.6,47.1,45.75,49.98,28.31,62.74,41.01,37.69,39.49,41.18,48.63,46.39,48,27.1
2014,-8.63,16.9,10.34,40.66,28.04,12.88,-1.46,21.09,4.82,-0.57,26.15,-2.77,18.95,-1.87,-12.03,5.19,6.21,-12.29,-15.92,-11.49,-4.49,0.19,8.53,6.61,19.61,-0.95,-31.13,-14,-38.32,-39.87,21.41,-4.69,-4.29,10.01,3.07,-3.38,7.08,9.54,22.81,13.13,22.23,0.77,-4.02,14.45,10.55,12.62,2.86,9.71,-5.59
